modele,condition,strate,P,O_fraction,O_indices,mediane,IQR_bas,IQR_haut,f,sigma_pm,cos_moyen,corr_O_cos,p_sym_median,p_pair_median,p_sym_cellule_realise_median,exces_O_moins_p_sym_realise,p_sym_cellule_theorique,exces_O_moins_p_sym_theorique
Qwen/Qwen2.5-1.5B,type,S0,7560,2483/241920,0.656878,0/1,0/1,1/1,0.010399,1019/2483,-0.001877,-0.14938544634802872,0,0,0,0.656878,0,0.656878
Qwen/Qwen2.5-1.5B,auto,S3,360,4621/23040,12.836111,13/1,9/1,16/1,0.220380,1/1,0.217962,0.9925832505651796,10,2,10,2.836111,11,1.836111
Qwen/Qwen2.5-1.5B,auto,S2,540,1297/8640,9.607407,9/1,7/1,12/1,0.165313,1/1,0.163329,0.9894182956871856,7,1,7,2.607407,8,1.607407
Qwen/Qwen2.5-1.5B,auto,S1,2160,11903/69120,11.021296,11/1,8/1,13/1,0.189126,1/1,0.186994,0.9905345581120933,9,2,9,2.021296,9,2.021296
Qwen/Qwen2.5-1.5B,auto,S0,7560,32617/241920,8.628836,8/1,6/1,11/1,0.148078,1/1,0.146269,0.9890228157614067,7,1,7,1.628836,7,1.628836
Qwen/Qwen2.5-1.5B,plac,S3,360,271/816,21.254902,356/17,310/17,407/17,0.679455,1/1,0.677811,0.9804359901765278,19,1,19,2.254902,ABSENT,ABSENT
Qwen/Qwen2.5-1.5B,plac,S2,540,20579/73440,17.933769,308/17,273/17,338/17,0.651465,1/1,0.649889,0.9703238656775405,16,1,16,1.933769,ABSENT,ABSENT
Qwen/Qwen2.5-1.5B,plac,S1,2160,71333/235008,19.426198,329/17,291/17,366/17,0.664055,1/1,0.662459,0.9753635809813774,17,1,17,2.426198,ABSENT,ABSENT
Qwen/Qwen2.5-1.5B,plac,S0,7560,359207/1370880,16.769701,284/17,253/17,315/17,0.641514,1/1,0.639995,0.9686799712848235,15,1,15,1.769701,ABSENT,ABSENT
Qwen/Qwen2.5-1.5B,type_sh,S3,120,41/1536,1.708333,1/1,0/1,2/1,0.027757,201/205,0.026439,0.9684450150097745,1,1,1,0.708333,2,-0.291667
Qwen/Qwen2.5-1.5B,type_sh,S2,240,49/3840,0.816667,1/1,0/1,1/1,0.013056,39/49,0.007712,0.5255155807042874,1,1,1,-0.183333,1,-0.183333
Qwen/Qwen2.5-1.5B,type_sh,S1,1128,1349/72192,1.195922,1/1,0/1,2/1,0.019188,1257/1349,0.016499,0.9120489166308757,1,1,1,0.195922,1,0.195922
Qwen/Qwen2.5-1.5B,type_sh,S0,3732,2491/238848,0.667471,0/1,0/1,1/1,0.010554,1257/2491,0.000095,0.09503139346063137,0,0,0,0.667471,1,-0.332529
Qwen/Qwen2.5-1.5B,plac_sh,S3,120,14681/43520,21.589706,367/17,330/17,24/1,0.684367,1/1,0.682720,0.9761934798001041,19,1,19,2.589706,ABSENT,ABSENT
Qwen/Qwen2.5-1.5B,plac_sh,S2,240,36479/130560,17.881863,305/17,275/17,20/1,0.652296,1/1,0.650719,0.9710043509661652,16,1,16,1.881863,ABSENT,ABSENT
Qwen/Qwen2.5-1.5B,plac_sh,S1,1128,23639/76704,19.723821,333/17,296/17,372/17,0.668305,1/1,0.666710,0.97539125914668,18,1,18,1.723821,ABSENT,ABSENT
Qwen/Qwen2.5-1.5B,plac_sh,S0,3732,536917/2030208,16.925698,288/17,256/17,317/17,0.644311,1/1,0.642787,0.968278070756983,15,1,15,1.925698,ABSENT,ABSENT
Qwen/Qwen2.5-1.5B,type_loo_sub,S3,120,29/1280,1.450000,1/1,0/1,2/1,0.023156,86/87,0.022416,0.9874780783824506,1,1,1,0.450000,1,0.450000
Qwen/Qwen2.5-1.5B,type_loo_sub,S2,240,49/3840,0.816667,1/1,0/1,1/1,0.013233,5/7,0.005733,0.38500447035910756,1,1,1,-0.183333,1,-0.183333
Qwen/Qwen2.5-1.5B,type_loo_sub,S1,1128,205/12032,1.090426,1/1,0/1,2/1,0.017483,568/615,0.014742,0.8895445155212914,1,1,1,0.090426,1,0.090426
Qwen/Qwen2.5-1.5B,type_loo_sub,S0,3732,2467/238848,0.661040,0/1,0/1,1/1,0.010477,1029/2467,-0.001749,-0.10668968753306214,0,0,0,0.661040,0,0.661040
Qwen/Qwen2.5-1.5B,plac_loo_sub,S3,120,43841/130560,21.490686,364/17,329/17,406/17,0.682203,1/1,0.680551,0.975439363235492,19,1,19,2.490686,ABSENT,ABSENT
Qwen/Qwen2.5-1.5B,plac_loo_sub,S2,240,907/3264,17.784314,305/17,274/17,337/17,0.649974,1/1,0.648395,0.9698773416858146,16,1,16,1.784314,ABSENT,ABSENT
Qwen/Qwen2.5-1.5B,plac_loo_sub,S1,1128,23527/76704,19.630371,332/17,294/17,370/17,0.666094,1/1,0.664496,0.9750463116735051,18,1,18,1.630371,ABSENT,ABSENT
Qwen/Qwen2.5-1.5B,plac_loo_sub,S0,3732,533869/2030208,16.829614,286/17,15/1,315/17,0.641953,1/1,0.640427,0.9672904199691514,15,1,15,1.829614,ABSENT,ABSENT
